id,gen,sp,ssp,grp,en,rec,cnt,loc,lat,lon,alt,type,sex,stage,method,url,file,file-name,sono,osci,lic,q,length,time,date,uploaded,also,rmk,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp,annotation-set,length_sec,path_file_lokal
1019508,Nyctalus,leisleri,,bats,Leisler's Noctule,Sarah Mahie,France,"Gard, Vézénobres",44.0338,4.1367,90,"echolocation, social call",,,field recording,//xeno-canto.org/1019508,https://xeno-canto.org/1019508/download,XC1019508-41620493_20250723232710.wav,"{'small': '//xeno-canto.org/sounds/spectrograms/JDAUUJDQDA/1019508/grey-small.png', 'med': '//xeno-canto.org/sounds/spectrograms/JDAUUJDQDA/1019508/grey-medium.png', 'large': '//xeno-canto.org/sounds/spectrograms/JDAUUJDQDA/1019508/colour.png', 'full': '//xeno-canto.org/sounds/spectrograms/JDAUUJDQDA/1019508/colour.png'}","{'small': '', 'med': '', 'large': ''}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:20,23:27,2025-07-23,2025-07-25,['Pipistrellus pipistrellus'],"Interaction between at least two individuals. Social calls present around 9,000s + 9,600s + 13,300 + 13,830s in the recording.",no,no,,,yes,Batlogger M,,312500,[],20,/content/drive/MyDrive/Projek/Muhajir Kelelawar/Vespertilionidae_dataset_baru/Nyctalus leisleri_Leisler's Noctule/XC1019508.wav
1023497,Nyctalus,leisleri,,bats,Leisler's Noctule,Sarah Mahie,France,"Arrondissement d'Alès (near  Vézénobres), Gard, Occitanie",44.0526,4.1364,190,"echolocation, social call",,,field recording,//xeno-canto.org/1023497,https://xeno-canto.org/1023497/download,XC1023497-41620063_20250725002237.wav,"{'small': '//xeno-canto.org/sounds/spectrograms/JDAUUJDQDA/1023497/grey-small.png', 'med': '//xeno-canto.org/sounds/spectrograms/JDAUUJDQDA/1023497/grey-medium.png', 'large': '//xeno-canto.org/sounds/spectrograms/JDAUUJDQDA/1023497/colour.png', 'full': '//xeno-canto.org/sounds/spectrograms/JDAUUJDQDA/1023497/colour.png'}","{'small': '', 'med': '', 'large': ''}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:14,00:22,2025-07-25,2025-07-28,['Hypsugo savii'],"Multiple type D social calls, such as type D1 trills around 1,350s + 3,100s + 4,050s in the recording and type D2 trills around  0,750s + 4,550s.",no,no,,,yes,Batlogger M,,312500,[],14,/content/drive/MyDrive/Projek/Muhajir Kelelawar/Vespertilionidae_dataset_baru/Nyctalus leisleri_Leisler's Noctule/XC1023497.wav
936683,Nyctalus,leisleri,,bats,Leisler's Noctule,Albert Lastukhin,Russian Federation,"Burki, Saratovsky District, Saratov Oblast",51.4455,45.742,240,echolocation,uncertain,uncertain,field recording,//xeno-canto.org/936683,https://xeno-canto.org/936683/download,"XC936683-Nyctalus-leisleri-0912_221634,3-км-севернее-д.-Бурки+-1-я-ночовка-за-Саратовым,-AA++.wav","{'small': '//xeno-canto.org/sounds/spectrograms/LELYWQKUZX/936683/grey-small.png', 'med': '//xeno-canto.org/sounds/spectrograms/LELYWQKUZX/936683/grey-medium.png', 'large': '//xeno-canto.org/sounds/spectrograms/LELYWQKUZX/936683/colour.png', 'full': '//xeno-canto.org/sounds/spectrograms/LELYWQKUZX/936683/colour.png'}","{'small': '', 'med': '', 'large': ''}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:11,22:30,2024-09-12,2024-09-30,['Oecanthus pellucens'],,no,no,,,no,,,96000,[],11,/content/drive/MyDrive/Projek/Muhajir Kelelawar/Vespertilionidae_dataset_baru/Nyctalus leisleri_Leisler's Noctule/XC936683.wav
1024843,Nyctalus,leisleri,,bats,Leisler's Noctule,Sarah Mahie,France,"Arrondissement d'Alès (near  Vézénobres), Gard, Occitanie",44.0526,4.1364,190,"echolocation, social call",,,field recording,//xeno-canto.org/1024843,https://xeno-canto.org/1024843/download,XC1024843-41620718_20250725022113.wav,"{'small': '//xeno-canto.org/sounds/spectrograms/JDAUUJDQDA/1024843/grey-small.png', 'med': '//xeno-canto.org/sounds/spectrograms/JDAUUJDQDA/1024843/grey-medium.png', 'large': '//xeno-canto.org/sounds/spectrograms/JDAUUJDQDA/1024843/colour.png', 'full': '//xeno-canto.org/sounds/spectrograms/JDAUUJDQDA/1024843/colour.png'}","{'small': '', 'med': '', 'large': ''}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:12,02:21,2025-07-25,2025-07-31,['Athene noctua'],Type C and type D social calls (both type D1 and D2). Two individuals present.,no,no,,,yes,Batlogger M,,312500,[],12,/content/drive/MyDrive/Projek/Muhajir Kelelawar/Vespertilionidae_dataset_baru/Nyctalus leisleri_Leisler's Noctule/XC1024843.wav
935427,Nyctalus,leisleri,,bats,Leisler's Noctule,Douwe van der Wijk,Netherlands,"Odoorn, Borger-Odoorn, Drenthe",52.8505,6.847,20,social call,,,field recording,//xeno-canto.org/935427,https://xeno-canto.org/935427/download,XC935427-20240916_223045.wav,"{'small': '//xeno-canto.org/sounds/spectrograms/JDAUUJDQDA/935427/grey-small.png', 'med': '//xeno-canto.org/sounds/spectrograms/JDAUUJDQDA/935427/grey-medium.png', 'large': '//xeno-canto.org/sounds/spectrograms/JDAUUJDQDA/935427/colour.png', 'full': '//xeno-canto.org/sounds/spectrograms/JDAUUJDQDA/935427/colour.png'}","{'small': '', 'med': '', 'large': ''}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:29,22:30,2024-09-16,2024-09-23,"['Pipistrellus pipistrellus', 'Leptophyes punctatissima']","There appears to be bat calls present between 14 and 10 kHz from 28,600s to the end of the recording. The calls continue in the recording XC935408.

I was quite surprised by their specifications and was even considering echolocation calls of an European free-tailed bat (Tadarida teniotis), but that is not a species to suspect in the Netherlands. The best and most logical candidate would be social calls of an advertising Leisler's bat.",no,no,,,no,Echo Meter Touch 2,,256000,[],29,/content/drive/MyDrive/Projek/Muhajir Kelelawar/Vespertilionidae_dataset_baru/Nyctalus leisleri_Leisler's Noctule/XC935427.wav
935408,Nyctalus,leisleri,,bats,Leisler's Noctule,Douwe van der Wijk,Netherlands,"Odoorn, Borger-Odoorn, Drenthe",52.8505,6.847,20,social call,,,field recording,//xeno-canto.org/935408,https://xeno-canto.org/935408/download,XC935408-Douwe-van-der-Wijk---Odoorn.wav,"{'small': '//xeno-canto.org/sounds/spectrograms/JDAUUJDQDA/935408/grey-small.png', 'med': '//xeno-canto.org/sounds/spectrograms/JDAUUJDQDA/935408/grey-medium.png', 'large': '//xeno-canto.org/sounds/spectrograms/JDAUUJDQDA/935408/colour.png', 'full': '//xeno-canto.org/sounds/spectrograms/JDAUUJDQDA/935408/colour.png'}","{'small': '', 'med': '', 'large': ''}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:29,22:31,2024-09-16,2024-09-23,"['Pipistrellus pipistrellus', 'Leptophyes punctatissima']","There appears to be bat calls present between 14 and 10 kHz from the start of the recording to 5,100s. Recording XC935427 is the audio fragment immediatly before this fragment. 

I was quite surprised by their specifications and was even considering echolocation calls of an European free-tailed bat (Tadarida teniotis), but that is not a species to suspect in the Netherlands. The best and most logical candidate would be social calls of an advertising Leisler's bat.",no,no,,,no,Echo Meter Touch 2,,256000,[],29,/content/drive/MyDrive/Projek/Muhajir Kelelawar/Vespertilionidae_dataset_baru/Nyctalus leisleri_Leisler's Noctule/XC935408.wav
925085,Nyctalus,leisleri,,bats,Leisler's Noctule,Daan Drukker,Italy,"Case di Nava (near  Nava), Provincia di Imperia, Liguria",44.0979,7.872,900,echolocation,,,field recording,//xeno-canto.org/925085,https://xeno-canto.org/925085/download,XC925085-NYCLEI_20240728_215329.wav,"{'small': '//xeno-canto.org/sounds/spectrograms/PZOLZQBBWM/925085/grey-small.png', 'med': '//xeno-canto.org/sounds/spectrograms/PZOLZQBBWM/925085/grey-medium.png', 'large': '//xeno-canto.org/sounds/spectrograms/PZOLZQBBWM/925085/colour.png', 'full': '//xeno-canto.org/sounds/spectrograms/PZOLZQBBWM/925085/colour.png'}","{'small': '', 'med': '', 'large': ''}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:14,22:00,2024-07-28,2024-08-04,[],https://observation.org/observation/321859907/,yes,no,,,no,Echo Meter Touch 2,Echo Meter Touch 2,256000,[],14,/content/drive/MyDrive/Projek/Muhajir Kelelawar/Vespertilionidae_dataset_baru/Nyctalus leisleri_Leisler's Noctule/XC925085.wav
825292,Nyctalus,leisleri,,bats,Leisler's Noctule,brickegickel,Germany,"Sandheide (near  Rüsselsheim am Main), Darmstadt, Hessen",50.002,8.5155,90,echolocation,,,field recording,//xeno-canto.org/825292,https://xeno-canto.org/825292/download,XC825292-NYCLEI_20230825_220605.wav,"{'small': '//xeno-canto.org/sounds/spectrograms/MCFGTDXKHO/825292/grey-small.png', 'med': '//xeno-canto.org/sounds/spectrograms/MCFGTDXKHO/825292/grey-medium.png', 'large': '//xeno-canto.org/sounds/spectrograms/MCFGTDXKHO/825292/colour.png', 'full': '//xeno-canto.org/sounds/spectrograms/MCFGTDXKHO/825292/colour.png'}","{'small': '', 'med': '', 'large': ''}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:16,22:00,2023-08-25,2023-08-27,[],,no,no,,,no,Samsung XCover Pro,Echo Meter Touch 2 Pro,256000,[],16,/content/drive/MyDrive/Projek/Muhajir Kelelawar/Vespertilionidae_dataset_baru/Nyctalus leisleri_Leisler's Noctule/XC825292.wav
815850,Nyctalus,leisleri,,bats,Leisler's Noctule,Fabrice Schmitt,France,"Arrondissement de Saint-Jean-de-Maurienne (near  Montsapey), Savoie, Auvergne-Rhône-Alpes",45.5384,6.3774,1300,distress call,,,in the hand,//xeno-canto.org/815850,https://xeno-canto.org/815850/download,XC815850-Noctule-Leisler_Montsapey_Fr_9jul2023_FSchmitt.mp3,"{'small': '//xeno-canto.org/sounds/spectrograms/FPAGKPAQYO/815850/grey-small.png', 'med': '//xeno-canto.org/sounds/spectrograms/FPAGKPAQYO/815850/grey-medium.png', 'large': '//xeno-canto.org/sounds/spectrograms/FPAGKPAQYO/815850/colour.png', 'full': '//xeno-canto.org/sounds/spectrograms/FPAGKPAQYO/815850/colour.png'}","{'small': '', 'med': '', 'large': ''}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:22,22:30,2023-07-09,2023-07-12,[],,yes,no,,,no,zoom H5,sennheiser ME66+K6,48000,[],22,/content/drive/MyDrive/Projek/Muhajir Kelelawar/Vespertilionidae_dataset_baru/Nyctalus leisleri_Leisler's Noctule/XC815850.mp3
810798,Nyctalus,leisleri,,bats,Leisler's Noctule,brickegickel,Germany,"Offenbach (near  Langen), Darmstadt, Hessen",50.0187,8.6352,120,echolocation,,,field recording,//xeno-canto.org/810798,https://xeno-canto.org/810798/download,XC810798-VESMUR_20230623_223125.wav,"{'small': '//xeno-canto.org/sounds/spectrograms/MCFGTDXKHO/810798/grey-small.png', 'med': '//xeno-canto.org/sounds/spectrograms/MCFGTDXKHO/810798/grey-medium.png', 'large': '//xeno-canto.org/sounds/spectrograms/MCFGTDXKHO/810798/colour.png', 'full': '//xeno-canto.org/sounds/spectrograms/MCFGTDXKHO/810798/colour.png'}","{'small': '', 'med': '', 'large': ''}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:16,22:30,2023-06-23,2023-06-24,[],Verdacht auf Vespertilio murinus. Die Art ist aber an der Stelle noch nicht nachgewiesen worden.,no,no,,,no,Samsung XCover Pro,Echo Meter Touch 2 Pro,256000,[],16,/content/drive/MyDrive/Projek/Muhajir Kelelawar/Vespertilionidae_dataset_baru/Nyctalus leisleri_Leisler's Noctule/XC810798.wav
809838,Nyctalus,leisleri,,bats,Leisler's Noctule,djsaaltink,Netherlands,"Vijlen, Vaals, Limburg",50.7649,5.9452,170,echolocation,,adult,field recording,//xeno-canto.org/809838,https://xeno-canto.org/809838/download,XC809838-NYCLEI_20230527_213622.wav,"{'small': '//xeno-canto.org/sounds/spectrograms/PQRRZNJXAJ/809838/grey-small.png', 'med': '//xeno-canto.org/sounds/spectrograms/PQRRZNJXAJ/809838/grey-medium.png', 'large': '//xeno-canto.org/sounds/spectrograms/PQRRZNJXAJ/809838/colour.png', 'full': '//xeno-canto.org/sounds/spectrograms/PQRRZNJXAJ/809838/colour.png'}","{'small': '', 'med': '', 'large': ''}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:13,21:36,2023-05-27,2023-06-19,[],,yes,no,,,no,smartphone,wildlife acoustics echo meter touch 2 pro,256000,[],13,/content/drive/MyDrive/Projek/Muhajir Kelelawar/Vespertilionidae_dataset_baru/Nyctalus leisleri_Leisler's Noctule/XC809838.wav
